tblCodeID,Code,Description,tblCodeTypeID,CodeType,Created,Modified,Deprecated
166389,10149,WestChan_WCInter_sh,1399,Station,2016-08-14,2018-08-07,False
167271,1015,Ka-1 Kalajoen edusta,1399,Station,2016-08-14,2018-03-21,False
166390,10150,WestChan_WCInter_wa,1399,Station,2016-08-14,2018-08-07,False
166391,10151,WestChan_WCOpenSea_fi,1399,Station,2016-08-14,2018-08-07,False
166392,10152,WestChan_WCOpenSea_se,1399,Station,2016-08-14,2018-08-07,False
166393,10153,WestChan_WCOpenSea_sh,1399,Station,2016-08-14,2018-08-07,False
166394,10154,WestChan_WCOpenSea_wa,1399,Station,2016-08-14,2018-08-07,False
166395,10155,WestChan_WolfRk_fi,1399,Station,2016-08-14,2018-08-07,False
166396,10156,WestChan_WolfRk_se,1399,Station,2016-08-14,2018-08-07,False
166397,10157,WestChan_WolfRk_sh,1399,Station,2016-08-14,2018-08-07,False
166398,10158,WestChan_WolfRk_wa,1399,Station,2016-08-14,2018-08-07,False
166399,10159,WestChan_Yealm_fi,1399,Station,2016-08-14,2018-08-07,False
167272,1016,Ka-2 Kalajoen edusta,1399,Station,2016-08-14,2017-08-29,False
166400,10160,WestChan_Yealm_se,1399,Station,2016-08-14,2018-08-07,False
166401,10161,WestChan_Yealm_sh,1399,Station,2016-08-14,2018-08-07,False
166402,10162,WestChan_Yealm_wa,1399,Station,2016-08-14,2018-08-07,False
166403,10163,WIShelf_WISOpenSea_fi,1399,Station,2016-08-14,2018-08-07,False
166404,10164,WIShelf_WISOpenSea_se,1399,Station,2016-08-14,2018-08-07,False
166405,10165,WIShelf_WISOpenSea_sh,1399,Station,2016-08-14,2018-08-07,False
166406,10166,WIShelf_WISOpenSea_wa,1399,Station,2016-08-14,2018-08-07,False
166407,10167,WShetland_AithVoe_fi,1399,Station,2016-08-14,2018-08-07,False
166408,10168,WShetland_AithVoe_se,1399,Station,2016-08-14,2018-08-07,False
166409,10169,WShetland_AithVoe_sh,1399,Station,2016-08-14,2018-08-07,False
167273,1017,Pyhäjoen ed OUVY-1,1399,Station,2016-08-14,2018-03-21,False
166410,10170,WShetland_AithVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166411,10171,WShetland_BurwickBay_fi,1399,Station,2016-08-14,2018-08-07,False
166412,10172,WShetland_BurwickBay_se,1399,Station,2016-08-14,2018-08-07,False
166413,10173,WShetland_BurwickBay_sh,1399,Station,2016-08-14,2018-08-07,False
166414,10174,WShetland_BurwickBay_wa,1399,Station,2016-08-14,2018-08-07,False
166415,10175,WShetland_BustaVoe_fi,1399,Station,2016-08-14,2018-08-07,False
166416,10176,WShetland_BustaVoe_se,1399,Station,2016-08-14,2018-08-07,False
166417,10177,WShetland_BustaVoe_sh,1399,Station,2016-08-14,2018-08-07,False
166418,10178,WShetland_BustaVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166419,10179,WShetland_CliftSound_fi,1399,Station,2016-08-14,2018-08-07,False
167274,1018,Raahen edusta rr-8,1399,Station,2016-08-14,2017-08-29,False
166420,10180,WShetland_CliftSound_se,1399,Station,2016-08-14,2018-08-07,False
166421,10181,WShetland_CliftSound_sh,1399,Station,2016-08-14,2018-08-07,False
166422,10182,WShetland_CliftSound_wa,1399,Station,2016-08-14,2018-08-07,False
166423,10183,WShetland_CollaFirth_fi,1399,Station,2016-08-14,2018-08-07,False
166424,10184,WShetland_CollaFirth_se,1399,Station,2016-08-14,2018-08-07,False
166425,10185,WShetland_CollaFirth_sh,1399,Station,2016-08-14,2018-08-07,False
166426,10186,WShetland_CollaFirth_wa,1399,Station,2016-08-14,2018-08-07,False
166427,10187,WShetland_DalesVoeNorth_fi,1399,Station,2016-08-14,2018-08-07,False
166428,10188,WShetland_DalesVoeNorth_se,1399,Station,2016-08-14,2018-08-07,False
166429,10189,WShetland_DalesVoeNorth_sh,1399,Station,2016-08-14,2018-08-07,False
167275,1019,Raahen ed OUVY-2,1399,Station,2016-08-14,2018-03-21,False
166430,10190,WShetland_DalesVoeNorth_wa,1399,Station,2016-08-14,2018-08-07,False
166431,10191,WShetland_EshaNessGloupH_fi,1399,Station,2016-08-14,2018-08-07,False
166432,10192,WShetland_EshaNessGloupH_se,1399,Station,2016-08-14,2018-08-07,False
166433,10193,WShetland_EshaNessGloupH_sh,1399,Station,2016-08-14,2018-08-07,False
166434,10194,WShetland_EshaNessGloupH_wa,1399,Station,2016-08-14,2018-08-07,False
166435,10195,WShetland_Foula_fi,1399,Station,2016-08-14,2018-08-07,False
166436,10196,WShetland_Foula_se,1399,Station,2016-08-14,2018-08-07,False
166437,10197,WShetland_Foula_sh,1399,Station,2016-08-14,2018-08-07,False
166438,10198,WShetland_Foula_wa,1399,Station,2016-08-14,2018-08-07,False
166439,10199,WShetland_GloupHolmHermaN_fi,1399,Station,2016-08-14,2018-08-07,False
160559,102,DMU 436,1399,Station,2016-08-14,2017-11-28,False
167276,1020,Kolmikulma OUVY5,1399,Station,2016-08-14,2018-03-21,False
166440,10200,WShetland_GloupHolmHermaN_se,1399,Station,2016-08-14,2018-08-07,False
166441,10201,WShetland_GloupHolmHermaN_sh,1399,Station,2016-08-14,2018-08-07,False
166442,10202,WShetland_GloupHolmHermaN_wa,1399,Station,2016-08-14,2018-08-07,False
166443,10203,WShetland_GrutingVoe_fi,1399,Station,2016-08-14,2018-08-07,False
166444,10204,WShetland_GrutingVoe_se,1399,Station,2016-08-14,2018-08-07,False
166445,10205,WShetland_GrutingVoe_sh,1399,Station,2016-08-14,2018-08-07,False
166446,10206,WShetland_GrutingVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166447,10207,WShetland_HoubHaggrister_fi,1399,Station,2016-08-14,2018-08-07,False
166448,10208,WShetland_HoubHaggrister_se,1399,Station,2016-08-14,2018-08-07,False
166449,10209,WShetland_HoubHaggrister_sh,1399,Station,2016-08-14,2018-08-07,False
167277,1021,Hailuodon ed int.asema,1399,Station,2016-08-14,2018-03-21,False
166450,10210,WShetland_HoubHaggrister_wa,1399,Station,2016-08-14,2018-08-07,False
166451,10211,WShetland_LochOfHellister_fi,1399,Station,2016-08-14,2018-08-07,False
166452,10212,WShetland_LochOfHellister_se,1399,Station,2016-08-14,2018-08-07,False
166453,10213,WShetland_LochOfHellister_sh,1399,Station,2016-08-14,2018-08-07,False
166454,10214,WShetland_LochOfHellister_wa,1399,Station,2016-08-14,2018-08-07,False
166455,10215,WShetland_LochOfNorthHaa_fi,1399,Station,2016-08-14,2018-08-07,False
166456,10216,WShetland_LochOfNorthHaa_se,1399,Station,2016-08-14,2018-08-07,False
166457,10217,WShetland_LochOfNorthHaa_sh,1399,Station,2016-08-14,2018-08-07,False
166458,10218,WShetland_LochOfNorthHaa_wa,1399,Station,2016-08-14,2018-08-07,False
166459,10219,WShetland_LochOfQueyfirth_fi,1399,Station,2016-08-14,2018-08-07,False
167278,1022,Haukiputaan ed OUVY-7,1399,Station,2016-08-14,2018-03-21,False
166460,10220,WShetland_LochOfQueyfirth_se,1399,Station,2016-08-14,2018-08-07,False
166461,10221,WShetland_LochOfQueyfirth_sh,1399,Station,2016-08-14,2018-08-07,False
166462,10222,WShetland_LochOfQueyfirth_wa,1399,Station,2016-08-14,2018-08-07,False
166463,10223,WShetland_LochOfStrom_fi,1399,Station,2016-08-14,2018-08-07,False
166464,10224,WShetland_LochOfStrom_se,1399,Station,2016-08-14,2018-08-07,False
166465,10225,WShetland_LochOfStrom_sh,1399,Station,2016-08-14,2018-08-07,False
166466,10226,WShetland_LochOfStrom_wa,1399,Station,2016-08-14,2018-08-07,False
166467,10227,WShetland_Minn_fi,1399,Station,2016-08-14,2018-08-07,False
166468,10228,WShetland_Minn_se,1399,Station,2016-08-14,2018-08-07,False
166469,10229,WShetland_Minn_sh,1399,Station,2016-08-14,2018-08-07,False
167279,1023,Kuivaniemen ed OUVY-8,1399,Station,2016-08-14,2017-08-29,False
166470,10230,WShetland_Minn_wa,1399,Station,2016-08-14,2018-08-07,False
166471,10231,WShetland_MusselLochYell_fi,1399,Station,2016-08-14,2018-08-07,False
166472,10232,WShetland_MusselLochYell_se,1399,Station,2016-08-14,2018-08-07,False
166473,10233,WShetland_MusselLochYell_sh,1399,Station,2016-08-14,2018-08-07,False
166474,10234,WShetland_MusselLochYell_wa,1399,Station,2016-08-14,2018-08-07,False
166475,10235,WShetland_NessGaltagarth_fi,1399,Station,2016-08-14,2018-08-07,False
166476,10236,WShetland_NessGaltagarth_se,1399,Station,2016-08-14,2018-08-07,False
166477,10237,WShetland_NessGaltagarth_sh,1399,Station,2016-08-14,2018-08-07,False
166478,10238,WShetland_NessGaltagarth_wa,1399,Station,2016-08-14,2018-08-07,False
166479,10239,WShetland_OlnaFirth_fi,1399,Station,2016-08-14,2018-08-07,False
167280,1024,Iin ed OUVY-11,1399,Station,2016-08-14,2018-03-21,False
166480,10240,WShetland_OlnaFirth_se,1399,Station,2016-08-14,2018-08-07,False
166481,10241,WShetland_OlnaFirth_sh,1399,Station,2016-08-14,2018-08-07,False
166482,10242,WShetland_OlnaFirth_wa,1399,Station,2016-08-14,2018-08-07,False
166483,10243,WShetland_PundHeadEshaN_fi,1399,Station,2016-08-14,2018-08-07,False
166484,10244,WShetland_PundHeadEshaN_se,1399,Station,2016-08-14,2018-08-07,False
166485,10245,WShetland_PundHeadEshaN_sh,1399,Station,2016-08-14,2018-08-07,False
166486,10246,WShetland_PundHeadEshaN_wa,1399,Station,2016-08-14,2018-08-07,False
166487,10247,WShetland_RonasVoe_fi,1399,Station,2016-08-14,2018-08-07,False
166488,10248,WShetland_RonasVoe_se,1399,Station,2016-08-14,2018-08-07,False
166489,10249,WShetland_RonasVoe_sh,1399,Station,2016-08-14,2018-08-07,False
167281,1025,PERÄMERI LAV9,1399,Station,2016-08-14,2018-03-21,False
166490,10250,WShetland_RonasVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166491,10251,WShetland_SaltnessLagoon_fi,1399,Station,2016-08-14,2018-08-07,False
166492,10252,WShetland_SaltnessLagoon_se,1399,Station,2016-08-14,2018-08-07,False
166493,10253,WShetland_SaltnessLagoon_sh,1399,Station,2016-08-14,2018-08-07,False
166494,10254,WShetland_SaltnessLagoon_wa,1399,Station,2016-08-14,2018-08-07,False
166495,10255,WShetland_SandsoundVoe_fi,1399,Station,2016-08-14,2018-08-07,False
166496,10256,WShetland_SandsoundVoe_se,1399,Station,2016-08-14,2018-08-07,False
166497,10257,WShetland_SandsoundVoe_sh,1399,Station,2016-08-14,2018-08-07,False
166498,10258,WShetland_SandsoundVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166499,10259,WShetland_Scalloway_fi,1399,Station,2016-08-14,2018-08-07,False
167282,1026,PERÄMERI LAV3,1399,Station,2016-08-14,2018-03-21,False
166500,10260,WShetland_Scalloway_se,1399,Station,2016-08-14,2018-08-07,False
166501,10261,WShetland_Scalloway_sh,1399,Station,2016-08-14,2018-08-07,False
166502,10262,WShetland_Scalloway_wa,1399,Station,2016-08-14,2018-08-07,False
166503,10263,WShetland_SkeldaNessPundH_fi,1399,Station,2016-08-14,2018-08-07,False
166504,10264,WShetland_SkeldaNessPundH_se,1399,Station,2016-08-14,2018-08-07,False
166505,10265,WShetland_SkeldaNessPundH_sh,1399,Station,2016-08-14,2018-08-07,False
166506,10266,WShetland_SkeldaNessPundH_wa,1399,Station,2016-08-14,2018-08-07,False
166507,10267,WShetland_SouthWick200445_fi,1399,Station,2016-08-14,2018-08-07,False
166508,10268,WShetland_SouthWick200445_se,1399,Station,2016-08-14,2018-08-07,False
166509,10269,WShetland_SouthWick200445_sh,1399,Station,2016-08-14,2018-08-07,False
167283,1027,I3,1399,Station,2016-08-14,2017-08-29,False
166510,10270,WShetland_SouthWick200445_wa,1399,Station,2016-08-14,2018-08-07,False
166511,10271,WShetland_SouthWick200446_fi,1399,Station,2016-08-14,2018-08-07,False
166512,10272,WShetland_SouthWick200446_se,1399,Station,2016-08-14,2018-08-07,False
166513,10273,WShetland_SouthWick200446_sh,1399,Station,2016-08-14,2018-08-07,False
166514,10274,WShetland_SouthWick200446_wa,1399,Station,2016-08-14,2018-08-07,False
166515,10275,WShetland_StromnessVoe_fi,1399,Station,2016-08-14,2018-08-07,False
166516,10276,WShetland_StromnessVoe_se,1399,Station,2016-08-14,2018-08-07,False
166517,10277,WShetland_StromnessVoe_sh,1399,Station,2016-08-14,2018-08-07,False
166518,10278,WShetland_StromnessVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166519,10279,WShetland_SullomVoe_fi,1399,Station,2016-08-14,2018-08-07,False
167284,1028,F2,1399,Station,2016-08-14,2017-08-29,False
166520,10280,WShetland_SullomVoe_se,1399,Station,2016-08-14,2018-08-07,False
166521,10281,WShetland_SullomVoe_sh,1399,Station,2016-08-14,2018-08-07,False
166522,10282,WShetland_SullomVoe_wa,1399,Station,2016-08-14,2018-08-07,False
166523,10283,WShetland_SumburghHead_fi,1399,Station,2016-08-14,2018-08-07,False
